longitude,latitude,trace_type,distance,cumulative_distance,curvature
-90.13510924087637,38.649731545768816,racing_line,2.9997181263629524e-05,0.0015692658617571526,0.1952978394973739
-90.13510302687376,38.649701412335396,racing_line,3.0767476953675263e-05,0.0016000333387108279,0.1913793243494144
-90.13509057380493,38.64967152107105,racing_line,3.238157821447883e-05,0.0016324149169253067,0.1840592245624716
-90.13507187206748,38.64964290153128,racing_line,3.418820030493966e-05,0.0016666031172302464,0.1723986080288875
-90.13504958195698,38.64961903236459,racing_line,3.2658630480875466e-05,0.0016992617477111218,0.18028876857008147
-90.13502313633332,38.649599370995865,racing_line,3.2953610287025994e-05,0.001732215357998148,0.16266922771610004
-90.13499446065457,38.649584564534315,racing_line,3.227267970505128e-05,0.001764488037703199,0.0963390174316886
-90.13496746423702,38.6495737725338,racing_line,2.907359343900848e-05,0.0017935616311422077,0.0334326732322861
-90.13494092396405,38.64956417879075,racing_line,2.8221020446423576e-05,0.0018217826515886312,0.03383688879202018
-90.1349119903418,38.649554813889296,racing_line,3.0411443167080836e-05,0.001852194094755712,0.03779658594614471
-90.13487658748141,38.649544816209726,racing_line,3.678744514950923e-05,0.0018889815399052213,0.005475020060185853
-90.1348381134817,38.6495341783438,racing_line,3.991757564118168e-05,0.001928899115546403,0.09691850838150184
-90.13480115171959,38.64951998348448,racing_line,3.959376074714271e-05,0.0019684928762935456,0.2047453034239476
-90.13477178682196,38.649501102653836,racing_line,3.491107243479436e-05,0.0020034039487283398,0.2994843165272558
-90.13475452003904,38.649480598341775,racing_line,2.680612999840042e-05,0.00203021007872674,0.29814602346728614
-90.13474779300263,38.64946476456791,racing_line,1.720352910427147e-05,0.0020474136078310117,0.31700017216063525
-90.13474778975326,38.649464726317525,racing_line,3.838815296897611e-08,0.0020474519959839807,0.3167273836426494
-90.13475394650864,38.649438664192296,racing_line,2.6779469902038256e-05,0.0020742314658860187,0.22092572766843843
-90.13477053259754,38.64940458166791,racing_line,3.790404745812291e-05,0.0021121355133441417,0.09199658671431488
-90.134786831202,38.64937769135387,racing_line,3.1444132944383176e-05,0.002143579646288525,0.05268358038134702
-90.1348051085749,38.649350836557005,racing_line,3.248449590684851e-05,0.0021760641421953737,0.021654581507682735
-90.13482408253866,38.649324216308514,racing_line,3.269019624528203e-05,0.0022087543384406555,0.0628826042413797
-90.13484134147146,38.64929646385664,racing_line,3.2681330239833575e-05,0.002241435668680489,0.14316908207948464
-90.1348547831404,38.64926580512264,racing_line,3.347590827280936e-05,0.002274911576953298,0.1594498640347597
-90.13486339108043,38.649232612047534,racing_line,3.429106102888595e-05,0.0023092026379821842,0.1527022655576431
-90.1348668367648,38.64919862516526,racing_line,3.416110225619871e-05,0.002343363740238383,0.10768525087386283
-90.13486661617695,38.64916544309436,racing_line,3.3182804104868426e-05,0.0023765465443432512,0.08867418402257088
-90.13486356924462,38.6491335753001,racing_line,3.201312399380484e-05,0.002408559668337056,0.10492256465112448
-90.13485717332627,38.649102062809526,racing_line,3.215501257341514e-05,0.0024407146809104713,0.10667807549862207
-90.13484696273879,38.64906984641136,racing_line,3.3795745405517554e-05,0.0024745104263159887,0.06929832195015417
-90.13483407731037,38.64903722815094,racing_line,3.507114452567195e-05,0.0025095815708416607,0.03474496407394856
-90.13482001642068,38.64900496211908,racing_line,3.519666789604729e-05,0.002544778238737708,0.0019976788862450245
-90.13480568050586,38.648972243602394,racing_line,3.572141917113105e-05,0.0025804996579088394,0.04183606949208274
-90.1347931727321,38.6489401032249,racing_line,3.448837876401479e-05,0.0026149880366728544,0.08525039648057864
-90.134783924419,38.64890863868858,racing_line,3.279555367968461e-05,0.002647783590352539,0.135740401098837
-90.13477920242792,38.64887742406576,racing_line,3.156976207811808e-05,0.002679353352430657,0.17317823280445932
-90.13477989883775,38.648847205400955,racing_line,3.0226688359773125e-05,0.00270958004079043,0.19880470490285207
-90.13478659495075,38.64881751863558,racing_line,3.0432580693808003e-05,0.002740012621484238,0.20201861375456032
-90.13480085949483,38.64878590509522,racing_line,3.468275006617446e-05,0.0027746953715504126,0.18729430102697342
