longitude,latitude,trace_type
-10033735.03206309,4671599.907650469,racing_line
-10033735.072040372,4671600.156818833,racing_line
-10033735.112019502,4671600.405889861,racing_line
-10033735.152001416,4671600.654859869,racing_line
-10033735.19198651,4671600.90372555,racing_line
-10033735.231974911,4671601.152483931,racing_line
-10033735.271949464,4671601.401135091,racing_line
-10033735.311910167,4671601.649676642,racing_line
-10033735.351862788,4671601.898105569,racing_line
-10033735.391813818,4671602.14641905,racing_line
-10033735.43177022,4671602.394614511,racing_line
-10033735.471739154,4671602.642689678,racing_line
-10033735.511727817,4671602.890642599,racing_line
-10033735.551743247,4671603.138471663,racing_line
-10033735.591792244,4671603.386175577,racing_line
-10033735.631881358,4671603.633753325,racing_line
-10033735.67201684,4671603.881204134,racing_line
-10033735.712201547,4671604.128527895,racing_line
-10033735.752429882,4671604.375725918,racing_line
-10033735.79270689,4671604.622797821,racing_line
-10033735.833037488,4671604.869743194,racing_line
-10033735.873426376,4671605.116561585,racing_line
-10033735.91387802,4671605.363252452,racing_line
-10033735.954396542,4671605.6098151915,racing_line
-10033735.994985621,4671605.856249139,racing_line
-10033736.03564843,4671606.102553601,racing_line
-10033736.076387564,4671606.34872792,racing_line
-10033736.117204968,4671606.59477152,racing_line
-10033736.15810192,4671606.84068398,racing_line
-10033736.199079065,4671607.086465103,racing_line
-10033736.240136541,4671607.33211495,racing_line
-10033736.281274226,4671607.577633874,racing_line
-10033736.322492078,4671607.823022509,racing_line
-10033736.363790669,4671608.068281715,racing_line
-10033736.40517181,4671608.313412512,racing_line
-10033736.446639225,4671608.55841599,racing_line
-10033736.488199085,4671608.803293239,racing_line
-10033736.529860478,4671609.048045306,racing_line
-10033736.571635466,4671609.292673185,racing_line
-10033736.61353885,4671609.537177864,racing_line
-10033736.655587543,4671609.781560414,racing_line
-10033736.697799642,4671610.025822055,racing_line
-10033736.74019336,4671610.26996426,racing_line
-10033736.782786002,4671610.513988784,racing_line
-10033736.825593065,4671610.757897658,racing_line
-10033736.868627777,4671611.001693134,racing_line
-10033736.911900897,4671611.245377589,racing_line
-10033736.9554208,4671611.488953428,racing_line
-10033736.999193683,4671611.732423009,racing_line
-10033737.043223899,4671611.975788565,racing_line
-10033737.08751421,4671612.219052165,racing_line
-10033737.132066045,4671612.462215697,racing_line
-10033737.1768796,4671612.70528085,racing_line
-10033737.22195403,4671612.9482490625,racing_line
-10033737.267287543,4671613.191121496,racing_line
-10033737.312877668,4671613.4338989295,racing_line
-10033737.358721731,4671613.676581631,racing_line
-10033737.404817497,4671613.919169198,racing_line
-10033737.451164156,4671614.1616603695,racing_line
-10033737.49776353,4671614.404052854,racing_line
-10033737.544621555,4671614.64634316,racing_line
-10033737.591749765,4671614.888526535,racing_line
-10033737.63916669,4671615.130596984,racing_line
-10033737.686899018,4671615.372547431,racing_line
-10033737.734982185,4671615.614370037,racing_line
-10033737.783460177,4671615.856056676,racing_line
-10033737.832384488,4671616.097599556,racing_line
-10033737.881812014,4671616.338991934,racing_line
-10033737.931801936,4671616.580228897,racing_line
-10033737.982411548,4671616.82130813,racing_line
-10033738.033691466,4671617.062230628,racing_line
-10033738.0856804,4671617.303001229,racing_line
-10033738.138400069,4671617.543628978,racing_line
-10033738.19185086,4671617.784127181,racing_line
-10033738.24600897,4671618.024513086,racing_line
-10033738.30082573,4671618.264807073,racing_line
-10033738.356229922,4671618.505031211,racing_line
-10033738.41213332,4671618.74520717,racing_line
-10033738.468439564,4671618.985353447,racing_line
-10033738.525055692,4671619.225482166,racing_line
-10033738.581904735,4671619.465595934,racing_line
-10033738.638937118,4671619.705685498,racing_line
-10033738.69613849,4671619.945728892,racing_line
-10033738.753532402,4671620.185692508,racing_line
-10033738.811177418,4671620.425533993,racing_line
-10033738.869160071,4671620.665206282,racing_line
-10033738.927585548,4671620.904661932,racing_line
-10033738.986567883,4671621.143857032,racing_line
-10033739.046221279,4671621.382754147,racing_line
-10033739.10665325,4671621.621324122,racing_line
-10033739.167959806,4671621.85954686,racing_line
-10033739.2302225,4671622.097411239,racing_line
-10033739.293506805,4671622.334914548,racing_line
-10033739.357861163,4671622.572061684,racing_line
-10033739.423316244,4671622.808864353,racing_line
-10033739.489883961,4671623.045340439,racing_line
-10033739.557556301,4671623.281513516,racing_line
-10033739.626304163,4671623.51741242,racing_line
-10033739.696076794,4671623.753070732,racing_line
-10033739.766802438,4671623.9885258665,racing_line
-10033739.83839085,4671624.223817595,racing_line
-10033739.9107382,4671624.458985699,racing_line
-10033739.983734723,4671624.694066675,racing_line
-10033740.057274738,4671624.929089617,racing_line
-10033740.131268356,4671625.164071646,racing_line
-10033740.205653304,4671625.399013672,racing_line
-10033740.28040494,4671625.633897423,racing_line
-10033740.35554238,4671625.86868469,racing_line
-10033740.431129582,4671626.1033192165,racing_line
-10033740.507271225,4671626.337731041,racing_line
-10033740.5841041,4671626.571842542,racing_line
-10033740.661785332,4671626.805575284,racing_line
