t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421471880309000,51.88,18.132264745379402,-26.7870983857952,38.64843584820633,-90.13527519210841,9.948421478259394,22.921249110175033,0.21894622681314985
1782421471890309000,51.89,18.32338881905604,-26.706226459716724,38.64843657550504,-90.13527299128673,9.948421478259394,22.948729141402104,0.18721431913765396
1782421471900309000,51.9,18.51473079751902,-26.625154939145023,38.64843730459874,-90.13527078795582,9.948421478259394,22.9757871388196,0.09094907799904367
1782421471910309000,51.910000000000004,18.706287031228257,-26.543886742624984,38.64843803546119,-90.13526858215775,9.948421478259394,23.002426524125898,0.0073327685494191065
1782421471920309000,51.92,18.89805387064325,-26.46242478870171,38.64843876806614,-90.13526637393451,9.948421478259394,23.028650647865245,-0.10790196507618016
1782421471930309000,51.93,19.09002766622388,-26.380771995920096,38.64843950238735,-90.13526416332815,9.948421478259394,23.05446279056779,-0.13238181432022686
1782421471940309000,51.94,19.282204768429917,-26.298931282825116,38.648440238398564,-90.13526195038068,9.948421478259394,23.07986616385188,-0.21832098026941674
1782421471950309000,51.95,19.47458152772128,-26.216905567961668,38.64844097607354,-90.13525973513413,9.948421478259394,23.104863911510915,-0.22897667035149044
1782421471960309000,51.96,19.66715429455746,-26.134697769874833,38.64844171538603,-90.13525751763052,9.948421478259393,23.12945911055676,-0.16715513350994265
1782421471970309000,51.97,19.859919419398334,-26.052310807109528,38.64844245630979,-90.13525529791188,9.948421478259393,23.153654772248938,-0.008644997695469048
1782421471980309000,51.980000000000004,20.052873252703836,-25.969747598210652,38.64844319881856,-90.13525307602023,9.948421478259393,23.177453843090646,0.13495930089479816
1782421471990309000,51.99,20.246012144933434,-25.88701106172329,38.64844394288611,-90.13525085199761,9.948421478259393,23.200859205794476,0.3223407756985367
1782421472000309000,52.0,20.439332446547052,-25.804104116192338,38.64844468848619,-90.13524862588604,9.948421478259393,23.223873680229055,0.4485095625925621
1782421472010309000,52.01,20.63283050800444,-25.721029680162786,38.648445435592535,-90.13524639772753,9.97401979712286,23.246500024339976,0.4753970306328283
1782421472020309000,52.02,20.826502679765508,-25.637790672179513,38.64844618417892,-90.13524416756411,10.001155344759985,23.268740935042416,0.4422826878006405
1782421472030309000,52.03,21.02034531228974,-25.554390010787618,38.64844693421909,-90.13524193543782,10.02829089239709,23.290599049085227,0.24772916999440978
1782421472040309000,52.04,21.214354756037046,-25.470830614532,38.64844768568679,-90.13523970139066,10.055426440034193,23.312076943906185,0.0023977981293577186
1782421472050309000,52.050000000000004,21.408527361467332,-25.387115401957573,38.64844843855579,-90.13523746546468,10.082561987671317,23.33317713845308,-0.3289981489264356
1782421472060309000,52.06,21.60285947904008,-25.303247291609406,38.64844919279982,-90.1352352277019,10.109697535308422,23.35390209397874,-0.5579777731843168
1782421472070309000,52.07,21.797347459215203,-25.21922920203242,38.64844994839266,-90.13523298814432,10.136833082945527,23.374254214823424,-0.5816166313527217
1782421472080309000,52.08,21.991987652452455,-25.135064051771575,38.648450705308036,-90.135230746834,10.16396863058263,23.39423584917513,-0.43151822790459116
1782421472090309000,52.09,22.18677640921176,-25.05075475937177,38.64845146351972,-90.13522850381295,10.191104178219755,23.413849289798723,-0.2797234067301301
1782421472100309000,52.1,22.381710079952576,-24.9663042433781,38.648452223001456,-90.13522625912319,10.21823972585686,23.433096774752734,-0.03378055661701246
1782421472110309000,52.11,22.57678501513484,-24.881715422335468,38.648452983727,-90.13522401280675,10.245375273493964,23.45198048808598,0.1955902970465432
1782421472120309000,52.120000000000005,22.77199756521843,-24.79699121478877,38.6484537456701,-90.13522176490565,10.272510821131087,23.470502560509303,0.4478980696180165
1782421472130309000,52.13,22.96734408066285,-24.712134539283102,38.64845450880452,-90.13521951546193,10.299646368768192,23.488665070050846,0.6675665614589897
1782421472140309000,52.14,23.162820911927998,-24.627148314363364,38.648455273104005,-90.13521726451759,10.326781916405297,23.50647004269455,0.6310503367116205
1782421472150309000,52.15,23.358424409473653,-24.542035458574524,38.64845603854231,-90.13521501211467,10.353917464042402,23.52391945299321,0.43520129310275946
1782421472160309000,52.160000000000004,23.554150923759693,-24.45679889046148,38.648456805093176,-90.13521275829521,10.381053011679525,23.541015224668403,0.13329979524675262
1782421472170309000,52.17,23.749996805245637,-24.371441528569324,38.64845757273038,-90.1352105031012,10.40818855931663,23.55775923118704,-0.10139567268295821
1782421472180309000,52.18,23.945958404391373,-24.28596629144296,38.64845834142765,-90.13520824657469,10.435324106953734,23.574153296336434,-0.0392465385842278
1782421472190309000,52.19,24.14203207165665,-24.20037609762735,38.64845911115876,-90.1352059887577,10.46245965459084,23.590199194748394,-0.027844873839211817
1782421472200309000,52.2,24.338214157501415,-24.114673865667402,38.648459881897445,-90.13520372969226,10.489595202227962,23.60589865244571,0.07967099813992139
1782421472210309000,52.21,24.53450101238512,-24.028862514108205,38.64846065361747,-90.1352014694204,10.516730749865067,23.621253347348784,0.10293450306051154
1782421472220309000,52.22,24.73088898676768,-23.942944961494653,38.648461426292585,-90.13519920798412,10.543866297502172,23.636264909757667,0.27324989582065284
1782421472230309000,52.230000000000004,24.927374431109016,-23.856924126371663,38.64846219989654,-90.13519694542545,10.571001845139294,23.65093492284567,0.2332552293302695
1782421472240309000,52.24,25.123953695868586,-23.770802927284308,38.64846297440309,-90.13519468178643,10.5981373927764,23.66526492311343,0.18820797568359018
