t,seconds_elapsed,tone_hz,rpm_est
1782422520399623400,5.4,39.0625,4687.5
1782422520409623400,5.41,39.0625,4687.5
1782422520419623400,5.42,39.0625,4687.5
1782422520429623400,5.43,39.0625,4687.5
1782422520439623400,5.44,39.0625,4687.5
1782422520449623400,5.45,39.0625,4687.5
1782422520459623400,5.46,39.0625,4687.5
1782422520469623400,5.47,39.0625,4687.5
1782422520479623400,5.48,39.0625,4687.5
1782422520489623400,5.49,39.0625,4687.5
1782422520499623400,5.5,39.0625,4687.5
1782422520509623400,5.51,39.0625,4687.5
1782422520519623400,5.5200000000000005,39.0625,4687.5
1782422520529623400,5.53,39.0625,4687.5
1782422520539623400,5.54,39.0625,4687.5
1782422520549623400,5.55,39.0625,4687.5
1782422520559623400,5.5600000000000005,39.0625,4687.5
1782422520569623400,5.57,39.0625,4687.5
1782422520579623400,5.58,39.0625,4687.5
